# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.412153     0.081309385
     0.412246     0.070000186
     0.412339     0.068951856
     0.412432     0.076619192
     0.412526     0.079704949
     0.412619     0.077140145
     0.412712     0.073515710
     0.412805     0.074237102
     0.412899     0.080244714
     0.412992     0.078378741
     0.413085     0.077262800
     0.413178     0.080374097
     0.413271     0.078377135
     0.413365     0.072810386
     0.413458     0.074818502
     0.413551     0.084665593
     0.413644     0.093521087
     0.413738     0.095947231
     0.413831     0.091047851
     0.413924     0.079678370
     0.414017     0.077116990
     0.414110     0.079183712
     0.414204     0.078413152
     0.414297     0.074014408
     0.414390     0.075069617
     0.414483     0.087132755
     0.414577     0.085140732
     0.414670     0.076775508
     0.414763     0.085650372
     0.414856     0.095267530
     0.414949     0.098289676
     0.415043     0.095048486
     0.415136     0.090681276
     0.415229     0.088231754
     0.415322     0.090196115
     0.415415     0.093586769
     0.415509     0.086572968
     0.415602     0.090427619
     0.415695     0.095886813
     0.415788     0.091927886
     0.415882     0.093131635
     0.415975     0.088582782
     0.416068     0.083096069
     0.416161     0.088092494
     0.416254      0.10024404
     0.416348     0.096200238
     0.416441     0.091764614
     0.416534     0.090713411
     0.416627     0.086088924
     0.416721     0.083423614
     0.416814     0.088914472
     0.416907      0.10059531
     0.417000      0.10460834
     0.417093     0.098808382
     0.417187     0.093704042
     0.417280     0.095907483
     0.417373     0.090723348
     0.417466     0.081427149
     0.417560     0.085927642
     0.417653     0.092523087
     0.417746     0.092638433
     0.417839     0.097466769
     0.417932     0.097323422
     0.418026      0.10372129
     0.418119      0.10745816
     0.418212      0.10933293
     0.418305      0.10396661
     0.418398      0.10785017
     0.418492      0.12004955
     0.418585      0.11390072
     0.418678      0.10182579
     0.418771      0.10411021
     0.418865      0.11311287
     0.418958      0.10982288
     0.419051     0.097575159
     0.419144      0.10227273
     0.419237      0.11951827
     0.419331      0.13062691
     0.419424      0.12498449
     0.419517      0.10370130
     0.419610      0.10569633
     0.419704      0.11079993
     0.419797      0.10563694
     0.419890      0.10570302
     0.419983      0.11015719
     0.420076      0.11794084
     0.420170      0.12212677
     0.420263      0.11782485
     0.420356      0.12321141
     0.420449      0.12780109
     0.420543      0.12741853
