# wavelength(um) flux(mJy)
4.859209999999999918e-01 3.578230000000000022e-01
4.862929999999999753e-01 3.452830000000000066e-01
4.866630000000000122e-01 3.543419999999999903e-01
4.870349999999999957e-01 3.513859999999999761e-01
4.874049999999999772e-01 3.533020000000000049e-01
4.877770000000000161e-01 3.604319999999999746e-01
4.881469999999999976e-01 3.519740000000000091e-01
4.885189999999999810e-01 3.720680000000000098e-01
4.888890000000000180e-01 3.629709999999999881e-01
4.892610000000000015e-01 3.721519999999999828e-01
4.896320000000000117e-01 3.799750000000000072e-01
4.900030000000000219e-01 3.647170000000000134e-01
4.903739999999999766e-01 3.701720000000000010e-01
4.907449999999999868e-01 3.781800000000000161e-01
4.911159999999999970e-01 3.812269999999999825e-01
4.914870000000000072e-01 3.957319999999999727e-01
4.918580000000000174e-01 3.935790000000000122e-01
4.922290000000000276e-01 3.929520000000000235e-01
4.925999999999999823e-01 4.029559999999999809e-01
4.929709999999999925e-01 4.077919999999999878e-01
4.933420000000000027e-01 4.000250000000000195e-01
4.937130000000000130e-01 4.107810000000000072e-01
4.940840000000000232e-01 4.139030000000000209e-01
4.944549999999999779e-01 4.109530000000000127e-01
4.948259999999999881e-01 4.300640000000000018e-01
4.951969999999999983e-01 4.206050000000000066e-01
4.955680000000000085e-01 4.217029999999999945e-01
4.959390000000000187e-01 4.129820000000000157e-01
4.963099999999999734e-01 4.139379999999999726e-01
4.966809999999999836e-01 4.241860000000000075e-01
4.970519999999999938e-01 4.266989999999999950e-01
4.974230000000000040e-01 4.357909999999999839e-01
4.977940000000000142e-01 4.231269999999999754e-01
4.981650000000000245e-01 4.244649999999999812e-01
4.985359999999999792e-01 4.274270000000000014e-01
4.989069999999999894e-01 4.357750000000000234e-01
4.992779999999999996e-01 4.412619999999999876e-01
4.996490000000000098e-01 4.326010000000000133e-01
5.000200000000000200e-01 4.310309999999999975e-01
5.003910000000000302e-01 4.291610000000000147e-01
5.007620000000000404e-01 4.223080000000000167e-01
5.011330000000000506e-01 4.355399999999999827e-01
5.015039999999999498e-01 4.326429999999999998e-01
5.018749999999999600e-01 4.346900000000000208e-01
5.022459999999999702e-01 4.422369999999999912e-01
5.026169999999999805e-01 4.443230000000000235e-01
5.029879999999999907e-01 4.472960000000000269e-01
5.033590000000000009e-01 4.301929999999999921e-01
5.037300000000000111e-01 4.488650000000000140e-01
5.041010000000000213e-01 4.288020000000000165e-01
5.044720000000000315e-01 4.206360000000000099e-01
5.048430000000000417e-01 4.098580000000000001e-01
5.052140000000000519e-01 4.207679999999999754e-01
5.055849999999999511e-01 4.000029999999999974e-01
5.059559999999999613e-01 3.894059999999999744e-01
5.063269999999999715e-01 3.820549999999999780e-01
5.066979999999999817e-01 3.751869999999999927e-01
5.070689999999999920e-01 3.659580000000000055e-01
5.074400000000000022e-01 3.622799999999999909e-01
5.078110000000000124e-01 3.422100000000000142e-01
5.081820000000000226e-01 3.484760000000000080e-01
5.085530000000000328e-01 3.351629999999999887e-01
5.089240000000000430e-01 3.240700000000000247e-01
5.092950000000000532e-01 3.168599999999999750e-01
5.096659999999999524e-01 3.091909999999999936e-01
5.100369999999999626e-01 3.195239999999999747e-01
5.104079999999999728e-01 3.114509999999999779e-01
5.107789999999999830e-01 3.103549999999999920e-01
5.111499999999999932e-01 3.130379999999999829e-01
5.115210000000000035e-01 3.101090000000000235e-01
5.118920000000000137e-01 3.216939999999999800e-01
5.122630000000000239e-01 3.315679999999999739e-01
5.126349999999999518e-01 3.303869999999999862e-01
5.130050000000000443e-01 3.407990000000000186e-01
5.133760000000000545e-01 3.580010000000000137e-01
5.137479999999999825e-01 3.649580000000000046e-01
5.141179999999999639e-01 3.713210000000000122e-01
5.144900000000000029e-01 3.954529999999999990e-01
5.148599999999999843e-01 4.134300000000000197e-01
5.152320000000000233e-01 4.255149999999999766e-01
5.156030000000000335e-01 4.372900000000000120e-01
5.159740000000000437e-01 4.764789999999999859e-01
5.163440000000000252e-01 4.815429999999999988e-01
5.167159999999999531e-01 5.187089999999999756e-01
