# wavelength(um) flux(mJy)
2.689830624008768378e+00 7.334999279568088330e-03
2.704445383775724743e+00 7.167283136863349634e-03
2.718989665617303597e+00 8.509768737244769593e-03
2.733464043861293380e+00 8.702314783421961908e-03
2.747869643578759291e+00 9.633333133722572078e-03
2.762207288977156505e+00 1.110012410403236199e-02
2.776477797535090719e+00 1.385541798548242318e-02
2.790681697375181791e+00 1.581710385836862867e-02
2.804819652662755569e+00 1.955696721798218934e-02
2.818892634716248402e+00 2.521057500789011807e-02
2.832901011174944639e+00 3.209972170078795317e-02
2.846846133680110302e+00 3.855145328223349988e-02
2.860728552145885395e+00 4.504702266181581649e-02
2.874548528144874826e+00 4.258717562783112531e-02
2.888306817976025176e+00 4.545893671582607737e-02
2.902004493520710326e+00 6.651044098331722332e-02
2.915642342109450613e+00 6.611068393195985993e-02
2.929220518860588207e+00 5.842019103156486509e-02
2.942739420023347652e+00 5.101092971764827760e-02
2.956200834961674406e+00 4.358073478978517767e-02
2.969604422120224019e+00 0.03754967
2.982950779714681033e+00 0.03151861
2.996241392171047568e+00 0.02548754
3.009476104839818866e+00 1.945647949658516410e-02
3.022655304521258746e+00 2.061946991960434891e-02
3.035780705554192327e+00 2.149443702872270642e-02
3.048851679327878372e+00 2.168658053222503185e-02
3.061869226376899178e+00 2.292919297947085613e-02
3.074834371050936266e+00 2.360211883085383544e-02
3.087746722853319969e+00 2.947322247319427921e-02
3.100608013397650797e+00 4.007556990510557221e-02
3.113417544153430860e+00 7.007155664963549135e-02
3.126176865346984801e+00 9.966287892301507745e-02
3.138885815833744708e+00 1.110088335543658045e-01
3.151545098115175136e+00 1.154783728961481098e-01
3.164155579885796765e+00 1.111552512708617463e-01
3.176716967008947012e+00 1.222094916274023835e-01
3.189230795222945058e+00 1.305193502994054233e-01
3.201696384486982350e+00 1.404974304316041200e-01
3.214115338332706795e+00 1.474243789143447891e-01
3.226487181076272748e+00 1.442039004635406740e-01
3.238813004072067958e+00 1.473296058569005529e-01
3.251093106234946184e+00 1.525827273422773744e-01
3.263327506585380622e+00 1.600519580106355422e-01
3.275517540545686224e+00 1.646956075372154882e-01
